TransNo,TransDt,V_TYPE,V_NO,TransType,AccNo,V_DT,V_ENTDT,Amount,Acc_No,Narrionation,V_NAR1,V_NAR2,V_ENO,MEMBERNO,V_CHKNO,BNK_NAM,RECO_DT,LCODE,LDATE,LTIME,INWARD,PURPOSE,LOANCD,SUBOFF,CHQDRF,PCODE,PIN,SLNO,INST_DT,SLIP_DT,MTH,YR,ST_DATE,AppYesNo,AppDate,AppBy,TokenNo,Trans_Branch,Mon_No,Year_No,Dept,mysrno,PinNo,SerialNo,Print_YN,Print_Dt,Prev_Chq_No,ChequeOnName,FDRegSrNo,User_Dept,SendToNeft_Branch,SendToNeft_User_Branch,SendToNeft_User_DATE_Branch,SendToNeft_Bank,SendToNeft_User_Bank,SendToNeft_User_DATE_Bank
CB2301-001524,2022-06-01,3,300463,1,300463,2022-06-01,,3540,,BEING ACCOMODATION CHARGES RECD FROM MEMBERS FOR LONAVALA REST HOUSE AGAINST BOOKING DT FROM 03.06.2022 (4.00 PM) TO 04.06.2022 (3.00 PM) (1 NIGHT) FOR BUNGLOW B-1/02 (REFUNDABLE CASH AMT. RS.1000/-),,,52922,,,,,9000146,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000046,,8,,,,46453,,,,,,,,8,,,,,,
CB2301-001525,2022-06-01,3,1,1,300001,2022-06-01,,120,,ISUUE BOND RECEIPT - TOP-UP,,,50646,,,,,9000045,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000027,,9,,,,46455,,,,,,,,11,,,,,,
CB2301-001526,2022-06-01,3,300464,1,300464,2022-06-01,,4720,,BEING ACCOMODATION CHARGES RECD FROM MEMBERS FOR LONAVALA REST HOUSE AGAINST BOOKING DT FROM 02.06.2022 (4.00 PM) TO 04.06.2022 (3.00 PM) (2 NIGHTS) FOR BUNGLOW B-3/02 (REFUNDABLE CASH AMT. RS.1000/-),,,49822,,,,,9000146,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000046,,8,,,,46456,,,,,,,,8,,,,,,
CB2301-001527,2022-06-01,3,300002,1,300002,2022-06-01,,10,,BEING THE AMT REC. IN NOMINEE CHANGE NEW NAME LAXMI K PUNDE,,,55462,,,,,9000091,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000027,,9,,,,46457,,,,,,,,11,,,,,,
CB2301-001528,2022-06-01,3,465,1,300465,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,64251,,,,,9000062,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000022,,8,,,,46460,,,,,,,,11,,,,,,
CB2301-001529,2022-06-01,3,300201,1,300201,2022-06-01,,10,,NOMINEE  SHWETA P BURBADKAR   RELATION  WIFE,,,63792,,,,,9000064,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000034,,2,,,,46461,,,,,,,,11,,,,,,
CB2301-001530,2022-06-01,3,129,1,300129,2022-06-01,,120,,ISUUE BOND RECEIPT - TOP-UP,,,64077,,,,,9000148,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000037,,6,,,,46463,,,,,,,,11,,,,,,
CB2301-001531,2022-06-01,3,300130,1,300130,2022-06-01,,120,,NEW MEMBER,,,74698,,,,,9000148,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000037,,6,,,,46467,,,,,,,,11,,,,,,
CB2301-001532,2022-06-01,3,202,1,300202,2022-06-01,,120,,ISUUE BOND RECEIPT - TOP-UP,,,53990,,,,,9000093,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000034,,2,,,,46470,,,,,,,,11,,,,,,
CB2301-001533,2022-06-01,3,170,1,300170,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,39798,,,,,9000073,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000028,,3,,,,46471,,,,,,,,11,,,,,,
CB2301-001534,2022-06-01,3,231,1,300231,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,52209,,,,,9000060,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000053,,1,,,,46474,,,,,,,,11,,,,,,
CB2301-001535,2022-06-01,3,466,1,300466,2022-06-01,,120,,ISUUE BOND RECEIPT - TOP-UP,,,56343,,,,,9000062,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000022,,8,,,,46476,,,,,,,,11,,,,,,
CB2301-001536,2022-06-01,3,203,1,300203,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,74550,,,,,9000093,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000034,,2,,,,46477,,,,,,,,11,,,,,,
CB2301-001537,2022-06-01,3,467,1,300467,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,35668,,,,,9000062,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000022,,8,,,,46478,,,,,,,,11,,,,,,
CB2301-001538,2022-06-01,3,171,1,300171,2022-06-01,,120,,ISUUE BOND RECEIPT - TOP-UP,,,58635,,,,,9000049,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000028,,3,,,,46482,,,,,,,,11,,,,,,
CB2301-001539,2022-06-01,3,139,1,300139,2022-06-01,,120,,ISUUE BOND RECEIPT - TOP-UP,,,47183,,,,,9000143,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000035,,4,,,,46483,,,,,,,,11,,,,,,
CB2301-001540,2022-06-01,3,468,1,300468,2022-06-01,,120,,ISUUE BOND RECEIPT - TOP-UP,,,52326,,,,,9000062,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000022,,8,,,,46485,,,,,,,,11,,,,,,
CB2301-001541,2022-06-01,3,232,1,300232,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,54217,,,,,9000060,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000053,,1,,,,46486,,,,,,,,11,,,,,,
CB2301-001542,2022-06-01,3,204,1,300204,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,56065,,,,,9000093,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000034,,2,,,,46487,,,,,,,,11,,,,,,
CB2301-001543,2022-06-02,3,300469,1,300469,2022-06-02,,19500,,PARTPAYMENT OF MTL,,,36445,,,,,9000082,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000022,,8,,,,46500,,,,,,,,11,,,,,,
CB2301-001544,2022-06-02,3,171,1,300171,2022-06-02,,120,,ISUUE BOND RECEIPT - TOP-UP,,,51885,,,,,9000070,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000031,,5,,,,46519,,,,,,,,11,,,,,,
CB2301-001545,2022-06-02,3,300470,1,300470,2022-06-02,,20000,,BEING THE AMT. OF PARTLY  PAID FOR MTL,,,24235,,,,,9000084,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000038,,8,,,,46526,,,,,,,,5,,,,,,
CB2301-001546,2022-06-02,3,131,1,300131,2022-06-02,,120,,ISUUE BOND RECEIPT - M.T.L.,,,56605,,,,,9000148,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000037,,6,,,,46556,,,,,,,,11,,,,,,
CB2301-001547,2022-06-02,3,132,1,300132,2022-06-02,,120,,ISUUE BOND RECEIPT - M.T.L.,,,57100,,,,,9000148,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000037,,6,,,,46559,,,,,,,,11,,,,,,
CB2301-001548,2022-06-02,3,471,1,300471,2022-06-02,,120,,ISUUE BOND RECEIPT - M.T.L.,,,50931,,,,,9000062,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000022,,8,,,,46577,,,,,,,,11,,,,,,
CB2301-001549,2022-06-02,3,233,1,300233,2022-06-02,,120,,ISUUE BOND RECEIPT - TOP-UP,,,53166,,,,,9000060,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000053,,1,,,,46584,,,,,,,,11,,,,,,
CB2301-001550,2022-06-02,3,300172,1,300172,2022-06-02,,10,,NOMINEE UPDATE NAME-POOJA ; RELATION -WIFE,,,58715,,,,,9000078,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000031,,5,,,,46585,,,,,,,,11,,,,,,
CB2301-001551,2022-06-02,3,172,1,300172,2022-06-02,,120,,ISUUE BOND RECEIPT - M.T.L.,,,58580,,,,,9000049,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000028,,3,,,,46588,,,,,,,,11,,,,,,
CB2301-001552,2022-06-02,3,472,1,300472,2022-06-02,,120,,ISUUE BOND RECEIPT - TOP-UP,,,61324,,,,,9000139,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000022,,8,,,,46592,,,,,,,,11,,,,,,
CB2301-001553,2022-06-02,3,173,1,300173,2022-06-02,,120,,ISUUE BOND RECEIPT - TOP-UP,,,60265,,,,,9000070,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000031,,5,,,,46602,,,,,,,,11,,,,,,
CB2301-001554,2022-06-02,3,133,1,300133,2022-06-02,,120,,ISUUE BOND RECEIPT - M.T.L.,,,50918,,,,,9000148,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000037,,6,,,,46604,,,,,,,,11,,,,,,
CB2301-001555,2022-06-02,3,300173,1,300173,2022-06-02,,10,,NOMINEE CHANGE- MR.NARAYAN A JUVEKAR (BROTHER),,,51057,,,,,9000073,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000028,,3,,,,46606,,,,,,,,11,,,,,,
CB2301-001556,2022-06-02,3,300473,1,300473,2022-06-02,,118,,BANK CHARGES FOR CHEQUE BOUNSED CHEQUE NO. 100063 AMT-50000/-,,,52975,,,,,9000139,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000022,,8,,,,46649,,,,,,,,11,,,,,,
CB2301-001557,2022-06-02,3,300205,1,300205,2022-06-02,,10,,NOMINEE  DEEPALI  VIJAY  RAMANE   RELATION   WIFE,,,58502,,,,,9000064,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000034,,2,,,,46656,,,,,,,,11,,,,,,
CB2301-001558,2022-06-02,3,174,1,300174,2022-06-02,,120,,ISUUE BOND RECEIPT - M.T.L.,,,45712,,,,,9000070,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000031,,5,,,,46659,,,,,,,,11,,,,,,
CB2301-001559,2022-06-02,3,300474,1,300474,2022-06-02,,10,,NOMINEE CHANGE- ABHIJIT ASHOK SAKHARE (SON),,,48706,,,,,9000139,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000022,,8,,,,46661,,,,,,,,11,,,,,,
CB2301-001560,2022-06-02,3,234,1,300234,2022-06-02,,120,,ISUUE BOND RECEIPT - TOP-UP,,,52146,,,,,9000060,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000053,,1,,,,46662,,,,,,,,11,,,,,,
CB2301-001561,2022-06-02,3,475,1,300475,2022-06-02,,120,,ISUUE BOND RECEIPT - TOP-UP,,,24364,,,,,9000139,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000022,,8,,,,46665,,,,,,,,11,,,,,,
CB2301-001562,2022-06-02,3,134,1,300134,2022-06-02,,120,,ISUUE BOND RECEIPT - M.T.L.,,,40256,,,,,9000079,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000037,,6,,,,46666,,,,,,,,11,,,,,,
CB2301-001563,2022-06-02,3,135,1,300135,2022-06-02,,120,,ISUUE BOND RECEIPT - M.T.L.,,,28902,,,,,9000148,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000037,,6,,,,46669,,,,,,,,11,,,,,,
CB2301-001564,2022-06-02,4,400026,2,400026,2022-06-02,,2000,,BEING THE AMOUNT WITHDRAWN AS PETTY CASH FOR BORIVALI BRANCH AS PER MCR NO.                DT. 30/05/2022,,,0,,,,,9000057,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000014,,8,,,,46670,,,,,,,,2,,,,,,
CB2301-001565,2022-06-02,3,476,1,300476,2022-06-02,,120,,ISUUE BOND RECEIPT - M.T.L.,,,43129,,,,,9000139,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000022,,8,,,,46673,,,,,,,,11,,,,,,
CB2301-001566,2022-06-02,3,300174,1,300174,2022-06-02,,10,,NOMINEE CHANGE- MRS.RUTUJA Y SOMANE (WIFE),,,58580,,,,,9000073,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000028,,3,,,,46674,,,,,,,,11,,,,,,
CB2301-001567,2022-06-02,4,400027,2,400027,2022-06-02,,5000,,BEING THE AMOUNT WITHDRAWN FOR PRUCHASING REVENUE STAMP TO BE DISTRIBUTED TO ALL BRANCHES AS PER THEIR REQUIRMENT,,,0,,,,,9000057,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000014,,8,,,,46675,,,,,,,,2,,,,,,
CB2301-001568,2022-06-02,3,477,1,300477,2022-06-02,,120,,ISUUE BOND RECEIPT - TOP-UP,,,41490,,,,,9000139,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000022,,8,,,,46677,,,,,,,,11,,,,,,
CB2301-001569,2022-06-02,3,478,1,300478,2022-06-02,,120,,ISUUE BOND RECEIPT - M.T.L.,,,50375,,,,,9000062,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000022,,8,,,,46679,,,,,,,,11,,,,,,
CB2301-001570,2022-06-02,3,479,1,300479,2022-06-02,,120,,ISUUE BOND RECEIPT - M.T.L.,,,62623,,,,,9000139,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000022,,8,,,,46680,,,,,,,,11,,,,,,
CB2301-001571,2022-06-02,3,206,1,300206,2022-06-02,,120,,ISUUE BOND RECEIPT - TOP-UP,,,58502,,,,,9000080,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000034,,2,,,,46681,,,,,,,,11,,,,,,
CB2301-001572,2022-06-02,3,480,1,300480,2022-06-02,,120,,ISUUE BOND RECEIPT - TOP-UP,,,57522,,,,,9000082,2022-06-02,,,,,,,,,,,,,,,1,2022-06-02,9000022,,8,,,,46683,,,,,,,,11,,,,,,
