EntryNo,Pancard,Adharcard,OfficeId,VoterID,Driving,ElectricityBill,TeleBill,RationCard,Passport,Remarks
MEM1801-000192,1,1,-1,-1,-1,-1,-1,-1,-1,
MEM1801-000190,1,1,1,1,-1,-1,-1,-1,-1,
MEM1801-000187,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000188,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000186,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000184,-1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000178,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000172,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000170,1,1,1,1,-1,-1,-1,-1,-1,
MEM1801-000152,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000160,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000148,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000154,1,1,1,1,-1,-1,-1,-1,-1,
MEM1801-000162,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1901-000010,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000135,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000109,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000125,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000126,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000127,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000107,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000111,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000122,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000118,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000117,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000133,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000136,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1901-000063,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000120,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000305,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000134,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000313,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000309,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000316,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000323,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000308,1,1,1,-1,-1,-1,-1,-1,-1,
7395,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000322,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000320,2,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000130,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000321,1,1,-1,-1,-1,-1,-1,-1,-1,
MEM1801-000326,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000307,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000318,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000312,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000310,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000311,1,1,1,-1,-1,-1,-1,-1,-1,
8172,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1901-000079,1,1,1,2,2,2,2,2,2,
MEM1801-000058,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000042,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000066,1,1,1,-1,1,-1,-1,-1,-1,
MEM1801-000071,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000070,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000064,1,1,1,1,-1,-1,-1,-1,-1,
MEM1801-000079,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000083,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000097,1,1,1,-1,-1,-1,-1,-1,-1,
6851,1,1,1,-1,-1,-1,-1,-1,-1,
6892,1,1,1,-1,-1,-1,-1,-1,-1,
6906,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000191,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000180,1,1,1,-1,1,-1,-1,-1,-1,
MEM1801-000149,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000110,1,1,1,-1,1,-1,-1,-1,-1,
MEM1801-000315,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000059,1,1,-1,-1,-1,-1,-1,-1,-1,
MEM1801-000069,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000075,1,1,1,-1,-1,-1,-1,-1,-1,
6827,1,1,1,-1,-1,-1,-1,-1,-1,
6862,1,1,1,-1,-1,-1,-1,-1,-1,
6887,1,1,-1,-1,-1,-1,-1,-1,-1,
MEM1801-000150,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000116,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000074,1,1,1,1,-1,-1,-1,-1,-1,
MEM1801-000094,1,1,1,-1,-1,-1,-1,-1,-1,
6842,1,1,-1,-1,-1,-1,-1,-1,-1,
6865,1,1,1,-1,-1,-1,-1,-1,-1,
6868,1,1,1,-1,-1,-1,-1,-1,-1,
6891,1,1,-1,-1,-1,1,-1,-1,-1,
6904,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000189,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000112,1,1,1,-1,-1,1,-1,1,-1,
MEM1801-000123,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000325,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000327,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000115,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000096,1,1,1,1,-1,1,-1,1,-1,
6818,1,1,-1,-1,-1,-1,-1,-1,-1,
6832,1,1,1,-1,-1,-1,-1,-1,-1,
6877,1,1,1,-1,-1,-1,-1,-1,-1,
6911,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000176,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000119,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000121,1,-1,1,1,1,-1,-1,-1,-1,
MEM1801-000128,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000140,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000314,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000101,1,1,1,-1,-1,-1,-1,-1,-1,
6913,1,1,1,-1,-1,-1,-1,-1,-1,
6825,1,1,1,-1,-1,-1,-1,-1,-1,
6835,1,1,1,-1,-1,1,-1,1,-1,
6845,-1,1,-1,-1,-1,-1,-1,-1,-1,
6853,1,1,1,-1,-1,-1,-1,-1,-1,
6872,1,1,1,-1,-1,-1,-1,-1,-1,
6881,1,1,-1,-1,-1,-1,-1,-1,-1,
6899,1,-1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000183,1,1,1,1,-1,-1,-1,-1,-1,
MEM1801-000175,1,1,1,1,-1,-1,-1,-1,-1,
MEM1801-000166,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1901-000020,1,1,2,2,2,2,2,2,2,
MEM1901-000073,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000306,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000092,1,1,1,-1,-1,-1,-1,-1,-1,
6820,1,1,-1,-1,-1,-1,-1,-1,-1,
6824,1,1,1,-1,-1,-1,-1,-1,-1,
6840,1,1,1,-1,-1,-1,-1,-1,-1,
6848,1,1,1,-1,1,-1,-1,-1,-1,
6854,1,1,1,-1,-1,-1,-1,-1,-1,
6873,1,1,1,-1,-1,-1,-1,-1,-1,
6900,2,1,1,-1,-1,-1,-1,-1,-1,
6909,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000185,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000108,1,1,1,2,-1,-1,-1,-1,-1,
MEM1801-000113,1,1,1,1,-1,-1,-1,-1,-1,
MEM1801-000132,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000131,1,1,1,-1,-1,-1,-1,-1,-1,
6850,1,1,1,-1,-1,-1,-1,-1,-1,
6280,1,-1,-1,-1,-1,-1,-1,-1,-1,
6858,1,1,1,-1,-1,-1,-1,-1,-1,
6870,1,1,1,-1,-1,-1,-1,-1,-1,
6876,1,1,1,-1,-1,-1,-1,-1,-1,
6889,1,1,1,-1,-1,-1,-1,-1,-1,
6897,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000174,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000169,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000157,1,1,1,1,-1,-1,-1,-1,-1,
MEM1801-000124,1,1,1,-1,-1,-1,-1,-1,-1,
6883,-1,1,1,-1,-1,-1,-1,-1,-1,
6893,1,1,1,-1,-1,-1,-1,-1,-1,
6907,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000182,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000177,1,1,-1,-1,-1,-1,-1,-1,-1,
MEM1801-000167,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000155,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1901-000019,1,-1,-1,-1,-1,-1,-1,-1,-1,
MEM1801-000319,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1901-001007,1,1,-1,-1,-1,-1,-1,-1,-1,
MEM1901-001008,-1,1,1,-1,-1,-1,-1,-1,-1,
MEM1901-001011,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1901-001012,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1901-001014,1,1,1,-1,-1,-1,-1,1,-1,
MEM1901-001015,1,1,1,-1,-1,-1,-1,1,-1,
MEM1801-000206,1,1,-1,-1,-1,-1,-1,-1,-1,
MEM1801-000205,1,1,-1,-1,-1,-1,-1,-1,-1,
MEM1801-000208,1,1,-1,-1,-1,-1,-1,1,-1,
MEM1901-000207,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1901-000205,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1901-000206,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1901-000204,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1901-000005,1,1,-1,-1,-1,-1,-1,-1,-1,
MEM1901-000004,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1901-000003,1,1,-1,1,-1,1,-1,-1,-1,
MEM1901-000002,1,1,-1,-1,-1,-1,-1,-1,-1,
MEM1901-000208,1,-1,1,-1,-1,-1,-1,-1,-1,
MEM1901-000007,1,1,-1,-1,-1,-1,-1,-1,-1,
3846,2,1,1,-1,-1,-1,-1,-1,-1,
3847,1,1,1,-1,-1,-1,-1,-1,-1,
2097,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1901-001028,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1901-001029,1,1,1,1,-1,-1,-1,-1,-1,
MEM1901-001030,1,1,-1,1,1,-1,-1,-1,-1,
MEM1901-001031,1,-1,1,-1,-1,-1,-1,-1,-1,
4615,1,1,1,-1,-1,-1,-1,-1,-1,
4617,1,1,1,-1,-1,-1,-1,-1,-1,
4619,1,1,1,-1,-1,-1,-1,-1,-1,
4625,-1,-1,1,-1,-1,-1,-1,-1,-1,
4627,1,-1,1,-1,-1,-1,-1,-1,-1,
4628,1,1,1,-1,-1,-1,-1,-1,-1,
4630,1,1,1,-1,-1,-1,-1,-1,-1,
4632,1,-1,1,-1,-1,-1,-1,-1,-1,
4638,1,1,1,-1,-1,-1,-1,-1,-1,
4639,1,1,1,-1,-1,-1,-1,-1,-1,
4642,2,1,1,-1,-1,-1,-1,-1,-1,
4665,1,1,1,-1,-1,-1,-1,-1,-1,
4644,1,1,1,-1,-1,-1,-1,-1,-1,
4645,1,1,1,-1,-1,-1,-1,-1,-1,
4650,1,1,1,-1,-1,-1,-1,-1,-1,
4655,1,1,1,-1,-1,-1,-1,-1,-1,
2099,1,-1,1,-1,-1,-1,-1,-1,-1,
2102,1,1,1,-1,-1,-1,-1,-1,-1,
2103,1,1,1,-1,-1,-1,-1,-1,-1,
4189,1,1,1,-1,-1,-1,-1,-1,-1,
4191,1,1,1,-1,-1,-1,-1,-1,-1,
4450,1,1,1,-1,-1,-1,-1,-1,-1,
3993,1,1,1,-1,-1,-1,-1,-1,-1,
4458,1,1,1,-1,-1,-1,-1,-1,-1,
3994,1,-1,1,-1,-1,-1,-1,-1,-1,
3995,1,1,1,-1,-1,-1,-1,-1,-1,
4459,1,1,1,-1,-1,-1,-1,-1,-1,
3996,1,1,1,-1,-1,-1,-1,-1,-1,
4460,1,1,1,-1,-1,-1,-1,-1,-1,
4659,1,1,1,-1,-1,-1,-1,-1,-1,
1700,1,1,1,-1,-1,-1,-1,-1,-1,
4662,1,1,1,-1,-1,-1,-1,-1,-1,
4663,1,1,1,-1,-1,-1,-1,-1,-1,
1703,1,1,1,-1,-1,-1,-1,-1,-1,
4001,1,1,1,-1,-1,-1,-1,-1,-1,
1704,1,1,1,-1,-1,-1,-1,-1,-1,
4011,2,1,1,-1,-1,-1,-1,-1,-1,
4669,1,1,1,-1,-1,-1,-1,-1,-1,
1706,1,1,1,-1,-1,-1,-1,-1,-1,
4670,1,1,1,-1,-1,-1,-1,-1,-1,
4672,1,1,1,-1,-1,-1,-1,-1,-1,
1709,1,1,1,-1,-1,-1,-1,-1,-1,
1710,1,1,1,-1,-1,-1,-1,-1,-1,
1714,1,1,1,-1,-1,-1,-1,-1,-1,
3757,1,1,1,-1,-1,-1,-1,-1,-1,
3758,1,2,1,-1,-1,-1,-1,-1,-1,
3755,2,1,1,-1,-1,-1,-1,-1,-1,
3759,1,1,1,-1,-1,-1,-1,-1,-1,
3748,1,-1,1,-1,-1,-1,-1,-1,-1,
3750,-1,-1,1,-1,-1,-1,-1,-1,-1,
3788,1,-1,1,-1,-1,-1,-1,-1,-1,
3753,-1,1,1,-1,-1,-1,-1,-1,-1,
3761,1,1,1,-1,-1,-1,-1,-1,-1,
3791,1,1,1,-1,-1,-1,-1,-1,-1,
3762,1,1,1,-1,-1,-1,-1,-1,-1,
3809,1,1,1,-1,-1,-1,-1,-1,-1,
3811,1,1,1,-1,-1,-1,-1,-1,-1,
1353,1,1,1,-1,-1,-1,-1,-1,-1,
3819,1,1,1,-1,-1,-1,-1,-1,-1,
3820,1,1,1,-1,-1,-1,-1,-1,-1,
3821,1,1,1,-1,-1,-1,-1,-1,-1,
3822,1,1,1,-1,-1,-1,-1,-1,-1,
3879,1,1,1,-1,-1,-1,-1,-1,-1,
3848,1,1,1,-1,-1,-1,-1,-1,-1,
3850,1,1,1,-1,-1,-1,-1,-1,-1,
3880,1,1,1,-1,-1,-1,-1,-1,-1,
3851,1,1,1,-1,-1,-1,-1,-1,-1,
3882,1,1,1,-1,-1,-1,-1,-1,-1,
3853,2,2,1,-1,-1,-1,-1,-1,-1,
3890,1,1,1,-1,-1,-1,-1,-1,-1,
3854,2,2,1,-1,-1,-1,-1,-1,-1,
3885,1,1,1,-1,-1,-1,-1,-1,-1,
3857,1,1,1,-1,-1,-1,-1,-1,-1,
3891,1,1,1,-1,-1,-1,-1,-1,-1,
3860,1,1,1,-1,-1,-1,-1,-1,-1,
3868,1,1,1,-1,-1,-1,-1,-1,-1,
3869,1,1,1,-1,-1,-1,-1,-1,-1,
3900,1,1,1,-1,-1,-1,-1,-1,-1,
3901,1,1,1,-1,-1,-1,-1,-1,-1,
3902,1,1,1,-1,-1,-1,-1,-1,-1,
2147,1,1,1,-1,-1,-1,-1,-1,-1,
3881,1,1,1,-1,-1,-1,-1,-1,-1,
3772,1,1,1,-1,-1,-1,-1,-1,-1,
3773,1,1,1,-1,-1,-1,-1,-1,-1,
3904,1,1,1,-1,-1,-1,-1,-1,-1,
3774,1,1,1,-1,-1,-1,-1,-1,-1,
2028,1,1,1,-1,-1,-1,-1,-1,-1,
3776,-1,1,1,-1,-1,-1,-1,-1,-1,
3908,1,1,1,-1,-1,-1,-1,-1,-1,
3778,1,1,1,-1,-1,-1,-1,-1,-1,
3781,1,1,1,-1,-1,-1,-1,-1,-1,
2030,1,1,1,-1,-1,-1,-1,-1,-1,
3780,-1,-1,1,-1,-1,-1,-1,-1,-1,
1426,1,1,1,-1,-1,-1,-1,-1,-1,
3911,1,1,1,-1,-1,-1,-1,-1,-1,
3782,-1,-1,1,-1,-1,-1,-1,-1,-1,
2033,1,1,1,-1,-1,-1,-1,-1,-1,
3783,1,1,1,-1,-1,-1,-1,-1,-1,
3784,1,1,1,-1,-1,-1,-1,-1,-1,
3913,1,1,1,-1,-1,-1,-1,-1,-1,
3785,1,1,1,-1,-1,-1,-1,-1,-1,
3786,1,1,1,-1,-1,-1,-1,-1,-1,
3787,1,1,1,-1,-1,-1,-1,-1,-1,
2037,1,1,1,-1,-1,-1,-1,-1,-1,
3915,1,1,1,-1,-1,-1,-1,-1,-1,
3789,1,-1,1,-1,-1,-1,-1,-1,-1,
3917,1,1,1,-1,-1,-1,-1,-1,-1,
3919,1,1,1,-1,-1,-1,-1,-1,-1,
3792,1,1,1,-1,-1,-1,-1,-1,-1,
3922,1,1,1,-1,-1,-1,-1,-1,-1,
3721,1,1,1,-1,-1,-1,-1,-1,-1,
3926,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000207,1,1,1,-1,-1,-1,-1,1,-1,
4621,1,1,1,-1,-1,-1,-1,-1,-1,
4634,-1,-1,1,-1,-1,-1,-1,-1,-1,
4640,1,1,1,-1,-1,-1,-1,-1,-1,
2106,1,1,1,-1,-1,-1,-1,-1,-1,
3992,1,1,1,-1,-1,-1,-1,-1,-1,
4457,1,1,1,-1,-1,-1,-1,-1,-1,
3751,1,1,1,-1,-1,-1,-1,-1,-1,
3823,1,1,1,-1,-1,-1,-1,-1,-1,
3892,1,1,1,-1,-1,-1,-1,-1,-1,
3793,1,1,1,-1,-1,-1,-1,-1,-1,
3920,1,1,1,-1,-1,-1,-1,-1,-1,
3717,1,1,1,-1,-1,-1,-1,-1,-1,
3796,1,1,1,-1,-1,-1,-1,-1,-1,
3927,1,1,1,-1,-1,-1,-1,-1,-1,
3859,2,2,1,-1,-1,-1,-1,-1,-1,
3972,1,1,1,-1,-1,-1,-1,-1,-1,
3929,1,1,1,-1,-1,-1,-1,-1,-1,
3931,1,1,1,-1,-1,-1,-1,-1,-1,
3802,-1,-1,1,-1,-1,-1,-1,-1,-1,
3865,1,1,1,-1,-1,-1,-1,-1,-1,
4042,1,1,1,-1,-1,-1,-1,-1,-1,
4044,-1,1,1,-1,-1,-1,-1,-1,-1,
3655,1,1,1,-1,-1,-1,-1,-1,-1,
3936,1,1,1,-1,-1,-1,-1,-1,-1,
3664,2,1,1,-1,-1,-1,-1,-1,-1,
3667,1,1,1,-1,-1,-1,-1,-1,-1,
3669,2,2,1,-1,-1,-1,-1,-1,-1,
3665,1,1,1,-1,-1,-1,-1,-1,-1,
3670,1,1,1,-1,-1,-1,-1,-1,-1,
3671,2,2,1,-1,-1,-1,-1,-1,-1,
3828,1,1,1,-1,-1,-1,-1,-1,-1,
3675,2,2,1,-1,-1,-1,-1,-1,-1,
3830,-1,1,-1,-1,-1,-1,-1,-1,-1,
5045,1,1,1,-1,-1,-1,-1,-1,-1,
3948,1,1,1,-1,-1,-1,-1,-1,-1,
3875,1,1,1,-1,-1,-1,-1,-1,-1,
4039,1,1,1,-1,-1,-1,-1,-1,-1,
3951,1,-1,1,-1,-1,-1,-1,-1,-1,
4040,1,1,1,-1,-1,-1,-1,-1,-1,
3924,1,1,1,-1,-1,-1,-1,-1,-1,
3952,1,1,1,-1,-1,-1,-1,-1,-1,
3876,1,1,1,-1,-1,-1,-1,-1,-1,
3953,1,1,1,-1,-1,-1,-1,-1,-1,
3680,1,1,1,-1,-1,-1,-1,-1,-1,
3681,1,1,1,-1,-1,-1,-1,-1,-1,
3958,1,1,1,-1,-1,-1,-1,-1,-1,
3959,2,1,1,-1,-1,-1,-1,-1,-1,
3960,1,1,1,-1,-1,-1,-1,-1,-1,
3962,1,1,1,-1,-1,-1,-1,-1,-1,
3835,1,1,1,-1,-1,-1,-1,-1,-1,
3963,1,1,1,-1,-1,-1,-1,-1,-1,
3836,1,1,1,-1,-1,-1,-1,-1,-1,
3965,1,1,1,-1,-1,-1,-1,-1,-1,
3839,1,1,1,-1,-1,-1,-1,-1,-1,
3969,2,1,1,-1,-1,-1,-1,-1,-1,
3840,1,1,1,-1,-1,-1,-1,-1,-1,
3970,1,1,1,-1,-1,-1,-1,-1,-1,
3687,1,1,1,-1,-1,-1,-1,-1,-1,
3973,1,1,1,-1,-1,-1,-1,-1,-1,
3974,1,1,1,-1,-1,-1,-1,-1,-1,
659,1,1,1,-1,-1,-1,-1,-1,-1,
3982,1,1,1,-1,-1,-1,-1,-1,-1,
3983,1,1,1,-1,-1,-1,-1,-1,-1,
3986,1,1,1,-1,-1,-1,-1,-1,-1,
2109,1,1,1,-1,-1,-1,-1,-1,-1,
2041,1,1,1,-1,-1,-1,-1,-1,-1,
2110,1,1,1,-1,-1,-1,-1,-1,-1,
2111,1,1,1,-1,-1,-1,-1,-1,-1,
2112,1,1,1,-1,-1,-1,-1,-1,-1,
2043,1,1,1,-1,-1,-1,-1,-1,-1,
3697,1,-1,1,-1,-1,-1,-1,-1,-1,
2113,1,1,1,-1,-1,-1,-1,-1,-1,
2044,1,1,1,-1,-1,-1,-1,-1,-1,
2045,1,1,1,-1,-1,-1,-1,-1,-1,
2114,-1,-1,1,-1,-1,-1,-1,-1,-1,
3699,1,1,1,-1,-1,-1,-1,-1,-1,
